filename,status,attempts_used,n_prc,energy_budget,seed,num_tasks,total_utilization,utilization_band,period_ratio,mk_type,energy_alpha,mandatory_energy,full_energy,h_eff,total_jobs,n_vars,n_constrs,freq_levels,tasks
t0001.txt,ok,5,8,132.32,504,4,0.2101,0.2-0.4,4,mixed,0.5627,98.0,159.0,1536,510,20910,592882,0.5;0.625;0.75;0.875;1.0,"(1,4,3,4);(1,16,1,3);(1,64,1,4);(22,256,1,2)"
,failed,6,,,,,,,,,,,,,,,,,
t0003.txt,ok,1,1,199.88,511,4,0.2487,0.2-0.4,5,mixed,0.4711,177.5,225.0,2000,624,3744,127115,0.5;0.625;0.75;0.875;1.0,"(1,4,4,4);(1,20,1,2);(13,100,1,2);(10,500,3,4)"
t0004.txt,ok,4,2,69.71,515,6,0.219,0.2-0.4,2,sparse,0.2898,52.25,112.5,768,378,4158,38179,0.5;0.625;0.75;0.875;1.0,"(1,4,1,3);(1,8,2,3);(2,16,2,4);(1,32,2,4);(1,64,1,2);(5,128,1,2)"
t0005.txt,ok,1,2,60.49,516,5,0.4116,0.4-0.6,2,dense,0.3722,59.0,63.0,384,186,1302,9863,0.5;0.75;1.0,"(1,4,4,4);(1,8,2,3);(1,16,2,2);(5,32,2,2);(4,64,2,2)"
t0006.txt,ok,3,16,232.75,519,4,0.4474,0.4-0.6,6,mixed,0.3735,168.5,340.5,2592,777,62937,3366740,0.5;0.625;0.75;0.875;1.0,"(1,4,1,2);(5,24,2,4);(6,144,1,3);(22,864,2,3)"
t0007.txt,ok,4,4,82.4,523,5,0.4343,0.4-0.6,2,sparse,0.2447,60.5,150.0,768,372,7812,75215,0.5;0.625;0.75;0.875;1.0,"(1,4,2,4);(1,8,2,4);(1,16,2,3);(7,32,1,4);(8,64,1,4)"
t0008.txt,ok,5,1,84.38,528,4,0.4977,0.4-0.6,4,mixed,0.8033,51.25,92.5,512,170,1020,8761,0.5;0.625;0.75;0.875;1.0,"(1,4,1,2);(1,16,1,2);(10,64,3,4);(65,256,1,2)"
t0009.txt,ok,4,2,28.85,532,4,0.4677,0.4-0.6,2,mixed,0.6355,19.0,34.5,192,90,630,2618,0.5;0.75;1.0,"(1,4,1,2);(2,8,1,3);(1,16,1,2);(5,32,2,2)"
t0010.txt,ok,1,8,41.36,533,6,0.5746,0.4-0.6,2,sparse,0.1007,36.25,87.0,512,252,6300,66793,0.5;0.75;1.0,"(1,4,1,2);(1,8,1,2);(1,16,1,4);(2,32,2,4);(1,64,1,2);(21,128,1,4)"
,failed,6,,,,,,,,,,,,,,,,,
,failed,6,,,,,,,,,,,,,,,,,
,failed,6,,,,,,,,,,,,,,,,,
t0014.txt,ok,4,2,70.61,555,5,0.3122,0.2-0.4,3,dense,0.6375,62.0,75.5,648,242,2662,27126,0.5;0.625;0.75;0.875;1.0,"(1,4,2,3);(1,12,2,2);(1,36,3,3);(8,108,2,2);(10,324,2,2)"
,failed,6,,,,,,,,,,,,,,,,,
t0016.txt,ok,2,16,45.43,563,4,0.3891,0.2-0.4,3,sparse,0.6142,27.0,57.0,432,160,12960,94648,0.5;0.625;0.75;0.875;1.0,"(1,4,2,4);(1,12,2,4);(3,36,1,3);(12,108,1,2)"
t0017.txt,ok,3,8,44.63,566,5,0.4154,0.4-0.6,2,mixed,0.3876,33.0,63.0,384,186,7626,37795,0.5;0.625;0.75;0.875;1.0,"(1,4,2,4);(1,8,2,4);(3,16,1,2);(2,32,2,4);(2,64,3,3)"
t0018.txt,ok,5,2,20.69,571,4,0.8363,0.6-0.9,2,mixed,0.1736,20.0,24.0,96,45,495,729,0.5;0.625;0.75;0.875;1.0,"(2,4,4,4);(1,8,1,2);(1,16,2,2);(10,32,2,3)"
t0019.txt,ok,6,8,197.76,577,4,0.4923,0.4-0.6,3,mixed,0.6098,150.5,228.0,1296,480,19680,422633,0.5;0.625;0.75;0.875;1.0,"(1,4,2,3);(1,12,1,2);(4,36,3,4);(28,108,2,3)"
t0020.txt,ok,4,1,101.88,581,6,0.5844,0.4-0.6,2,mixed,0.4165,70.75,145.5,768,378,1512,19654,0.5;0.75;1.0,"(1,4,1,2);(1,8,2,4);(1,16,1,3);(1,32,1,2);(13,64,1,2);(11,128,1,2)"
