filename,status,attempts_used,n_prc,energy_budget,seed,num_tasks,total_utilization,utilization_band,period_ratio,mk_type,energy_alpha,mandatory_energy,full_energy,h_eff,total_jobs,n_vars,n_constrs,freq_levels,tasks
t0001.txt,ok,2,1,156.58,1001,4,0.8707,0.6-0.9,4,sparse,0.6902,71.0,195.0,768,255,1020,19285,0.5;0.75;1.0,"(1,4,1,4);(3,16,1,2);(8,64,2,4);(116,256,1,3)"
,failed,6,,,,,,,,,,,,,,,,,
t0003.txt,ok,5,4,29.64,1012,5,0.4416,0.4-0.6,2,sparse,0.8416,15.75,32.25,192,93,1209,4978,0.5;0.75;1.0,"(1,4,1,2);(1,8,1,2);(1,16,1,2);(6,32,1,2);(3,64,1,3)"
t0004.txt,ok,5,8,162.01,1017,5,0.2706,0.2-0.4,3,sparse,0.9213,68.5,170.0,1296,484,19844,422640,0.5;0.625;0.75;0.875;1.0,"(1,4,1,3);(1,12,2,4);(1,36,2,4);(6,108,1,3);(35,324,2,4)"
,failed,6,,,,,,,,,,,,,,,,,
,failed,6,,,,,,,,,,,,,,,,,
,failed,6,,,,,,,,,,,,,,,,,
t0008.txt,ok,2,1,226.9,1037,7,0.6327,0.6-0.9,2,sparse,0.4557,121.75,352.5,1536,762,4572,76193,0.5;0.625;0.75;0.875;1.0,"(1,4,1,4);(1,8,1,4);(1,16,1,3);(1,32,1,3);(3,64,1,2);(25,128,1,3);(53,256,1,2)"
,failed,6,,,,,,,,,,,,,,,,,
t0010.txt,ok,1,2,415.07,1044,7,0.7339,0.6-0.9,2,dense,0.7144,406.5,418.5,1536,762,8382,150115,0.5;0.625;0.75;0.875;1.0,"(1,4,3,3);(1,8,3,4);(2,16,3,3);(4,32,2,2);(25,64,3,3);(1,128,2,2);(17,256,2,2)"
